task,algo,fitness
AAC,sensory,19084
AAC,sensory,18452
AAC,sensory,17445
AAC,sensory,16839
AAC,sensory,15836
AAC,sensory,15604
AAC,sensory,15358
AAC,sensory,15331
AAC,sensory,15265
AAC,sensory,15145
AAC,sensory_pseudo,14805
AAC,sensory_pseudo,13608
AAC,sensory_pseudo,15901
AAC,sensory_pseudo,10807
AAC,sensory_pseudo,8919
AAC,sensory_pseudo,9091
AAC,sensory_pseudo,17180
AAC,sensory_pseudo,10537
AAC,sensory_pseudo,12675
AAC,sensory_pseudo,13532
AAC,pos,17319
AAC,pos,16196
AAC,pos,15941
AAC,pos,15595
AAC,pos,15489
AAC,pos,15128
AAC,pos,14578
AAC,pos,13806
AAC,pos,13389
AAC,pos,13217
AAC,pos_pseudo,7983
AAC,pos_pseudo,13919
AAC,pos_pseudo,13735
AAC,pos_pseudo,12603
AAC,pos_pseudo,10002
AAC,pos_pseudo,15167
AAC,pos_pseudo,10216
AAC,pos_pseudo,8267
AAC,pos_pseudo,11698
AAC,pos_pseudo,11501
AAC,chocolate,11849
AAC,chocolate,9514
AAC,chocolate,12929
AAC,chocolate,14191
AAC,chocolate,11603
AAC,chocolate,11109
AAC,chocolate,11856
AAC,chocolate,9929
AAC,chocolate,12909
AAC,chocolate,11152
AAC,chocolate_pseudo,10538
AAC,chocolate_pseudo,10650
AAC,chocolate_pseudo,11465
AAC,chocolate_pseudo,11418
AAC,chocolate_pseudo,1288
AAC,chocolate_pseudo,9663
AAC,chocolate_pseudo,10352
AAC,chocolate_pseudo,10119
AAC,chocolate_pseudo,10785
AAC,chocolate_pseudo,11233
HOMING,sensory,0.9
HOMING,sensory,0.9
HOMING,sensory,0.85
HOMING,sensory,0.85
HOMING,sensory,0.8
HOMING,sensory,0.8
HOMING,sensory,0.8
HOMING,sensory,0.8
HOMING,sensory,0.8
HOMING,sensory,0.8
HOMING,sensory_pseudo,0.4
HOMING,sensory_pseudo,0.8
HOMING,sensory_pseudo,0.8
HOMING,sensory_pseudo,0.6
HOMING,sensory_pseudo,0.65
HOMING,sensory_pseudo,0.5
HOMING,sensory_pseudo,0.9
HOMING,sensory_pseudo,0.65
HOMING,sensory_pseudo,0.25
HOMING,sensory_pseudo,0.95
HOMING,pos,0.8
HOMING,pos,0.8
HOMING,pos,0.7
HOMING,pos,0.6
HOMING,pos,0.6
HOMING,pos,0.55
HOMING,pos,0.55
HOMING,pos,0.5
HOMING,pos,0.5
HOMING,pos,0.5
HOMING,pos_pseudo,0.8
HOMING,pos_pseudo,0.55
HOMING,pos_pseudo,0.5
HOMING,pos_pseudo,0.45
HOMING,pos_pseudo,0.55
HOMING,pos_pseudo,0.25
HOMING,pos_pseudo,0.75
HOMING,pos_pseudo,0.45
HOMING,pos_pseudo,0.5
HOMING,pos_pseudo,0.75
HOMING,chocolate,0.8
HOMING,chocolate,0.9
HOMING,chocolate,0.9
HOMING,chocolate,0.75
HOMING,chocolate,0.65
HOMING,chocolate,0.65
HOMING,chocolate,0.75
HOMING,chocolate,0.95
HOMING,chocolate,0.8
HOMING,chocolate,0.9
HOMING,chocolate_pseudo,0.7
HOMING,chocolate_pseudo,0.55
HOMING,chocolate_pseudo,0.85
HOMING,chocolate_pseudo,0.75
HOMING,chocolate_pseudo,0.7
HOMING,chocolate_pseudo,0.5
HOMING,chocolate_pseudo,0.8
HOMING,chocolate_pseudo,0.9
HOMING,chocolate_pseudo,0.85
HOMING,chocolate_pseudo,0.7
FORAGING,chocolate,44
FORAGING,chocolate,57
FORAGING,chocolate,43
FORAGING,chocolate,56
FORAGING,chocolate,54
FORAGING,chocolate,50
FORAGING,chocolate,36
